,_id,buying_type,created_time,campaign_id,lifetime_budget,name,start_time,status,stop_time,adset_id,adset_name,adaccount_id,date_start,date_stop,campaign_name,impressions,clicks,spend,leads,link_click,unique_clicks,unique_link_click,post_engagement,page_engagement,post_reaction,lead,actual_cpl,cpl_30,ctl,cpm,cpc,ctr,click_to_form,form_to_lead
0,66d874f408b05b0db2e84890,AUCTION,2024-09-03T17:57:20+0530,120212056817890764,1465279,Smartworld_One_DXP_Gurugram_Sarabjit_03/09/24_campaign,2024-09-03T17:57:21+0530,ACTIVE,2024-09-11T23:55:00+0530,"['120212056817920764', '120212059957140764']","['Smartworld_One_DXP_Gurugram_Sarabjit_Investor_Focused_adset_03/09/24', 'Smartworld_One_DXP_Gurugram_Sarabjit_LAL_3&5cr_adset_03/09/24']",7169553933166414,2024-09-03,2024-09-04,Smartworld_One_DXP_Gurugram_Sarabjit_03/09/24_campaign,3328.0,18.0,1429.1,0.0,13.0,16.0,0.0,241.0,241.0,6.0,,,,,429.4170673076923,79.39444444444445,0.005408653846153846,0.7222222222222222,
1,66d874f408b05b0db2e84891,AUCTION,2024-09-01T17:53:57+0530,120212014042530764,3500000,Omaxe_Dwarka_Delhi_Delhi_shivnaman_bawa_01/09/24_campaign,2024-09-02T12:58:12+0530,PAUSED,2024-09-16T23:52:16+0530,['120212027794890764'],['Omaxe_Dwarka_Delhi_LeapX_Campaigns_Com_A_LC_investor_focused_adset'],7169553933166414,2024-09-02,2024-09-04,Omaxe_Dwarka_Delhi_Delhi_shivnaman_bawa_01/09/24_campaign,2492.0,19.0,461.19,0.0,14.0,18.0,0.0,18.0,18.0,3.0,,,,,185.06821829855537,24.27315789473684,0.007624398073836276,0.7368421052631579,
2,66d874f408b05b0db2e84892,AUCTION,2024-08-31T12:22:31+0530,120211992769850764,1483020,ATS_Homekraft_Gurugram_Gurugram_Landbase_31/08/24_campaign,2024-08-31T18:22:30+0530,PAUSED,2024-09-30T18:22:30+0530,"['120211992770610764', '120212000253220764']","['ATS_Homekraft_Gurugram_Landbase_Res_V_LC_investor_focused_adset', 'ATS_Homekraft_Gurugram_Landbase_Res_V_LC_LAL_3cr_adset']",7169553933166414,2024-08-31,2024-09-04,ATS_Homekraft_Gurugram_Gurugram_Landbase_31/08/24_campaign,4055.0,61.0,1586.74,0.0,20.0,54.0,0.0,448.0,448.0,5.0,,,,,391.3045622688039,26.012131147540984,0.015043156596794081,0.32786885245901637,
3,66d874f408b05b0db2e84893,AUCTION,2024-08-31T12:12:18+0530,120211992715800764,1483090,Samyak_Boulevard_83_Gurugram_Gurugram_Landbase_31/08/24_campaign,2024-08-31T18:12:18+0530,ACTIVE,2024-09-30T18:12:18+0530,['120211992716410764'],['Samyak_Boulevard_83_Gurugram_Landbase_Com_A_LC_investor_focused_adset'],7169553933166414,2024-08-31,2024-09-04,Samyak_Boulevard_83_Gurugram_Gurugram_Landbase_31/08/24_campaign,6097.0,115.0,2188.58,0.0,45.0,87.0,0.0,799.0,799.0,9.0,8.0,273.5725,390.8178571428572,14.375,358.96014433327866,19.031130434782607,0.018861735279645728,0.391304347826087,0.17777777777777778
4,66d874f408b05b0db2e84894,AUCTION,2024-08-28T16:38:27+0530,120211915589710764,1120000,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_SE Asia_campaign,2024-08-28T16:38:27+0530,PAUSED,2024-09-11T20:00:48+0530,"['120211915589700764', '120211917231740764', '120211917257550764']","['Smartworld_One_DXP_Sarabjit_Res_L_LC_investor_focused_adset_SE Asia', 'Smartworld_One_DXP_Sarabjit_Res_L_LC_LAL_3cr_SE Asia_adset', 'Smartworld_One_DXP_Sarabjit_Res_L_LC_LAL_5cr_SE Asia_adset']",7169553933166414,2024-08-28,2024-09-04,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_SE Asia_campaign,1795.0,43.0,756.22,0.0,30.0,41.0,0.0,319.0,319.0,6.0,1.0,756.22,1080.314285714286,43.0,421.2924791086351,17.586511627906976,0.02395543175487465,0.6976744186046512,0.03333333333333333
5,66d874f408b05b0db2e84895,AUCTION,2024-08-27T14:00:49+0530,120211887712890764,1120000,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_campaign_USA,2024-08-27T20:00:48+0530,PAUSED,2024-09-11T20:00:48+0530,['120211887716450764'],['Smartworld_One_DXP_Sarabjit_Res_L_LC_investor_focused_adset_USA'],7169553933166414,2024-08-27,2024-09-04,Smartworld_One_DXP_Gurugram_Sarabjit_27/08/24_campaign_USA,720.0,16.0,2738.36,0.0,11.0,16.0,0.0,62.0,62.0,2.0,,,,,3803.277777777778,171.1475,0.022222222222222223,0.6875,
6,66d874f408b05b0db2e84896,AUCTION,2024-08-24T17:03:53+0530,120211836689260764,700000,MVN_Mall_Gurugram_Sanjoli_Yadav__24/08/24_campaign,2024-08-24T17:25:21+0530,PAUSED,2024-09-08T21:29:52+0530,['120211836698690764'],['MVN_Mall_Sanjoli_Yadav__Com_A_LC_investor_focused_adset'],7169553933166414,2024-08-24,2024-09-04,MVN_Mall_Gurugram_Sanjoli_Yadav__24/08/24_campaign,5402.0,75.0,3575.05,0.0,32.0,56.0,0.0,34.0,34.0,1.0,3.0,1191.6833333333334,1702.4047619047622,25.0,661.8011847463903,47.66733333333334,0.013883746760459089,0.4266666666666667,0.09375
7,66d874f408b05b0db2e84897,AUCTION,2024-08-21T19:38:48+0530,120211763205370764,350000,The_Lotus_India_Kolhapur_Sanjoli_Yadav_21/08/24_campaign,2024-08-21T19:40:00+0530,PAUSED,2024-09-05T19:30:00+0530,['120211763205390764'],['The_Lotus_India__Kolhapur_Sanjoli_Yadav_21/08/24_adset'],7169553933166414,2024-08-21,2024-09-04,The_Lotus_India_Kolhapur_Sanjoli_Yadav_21/08/24_campaign,383.0,17.0,192.24,0.0,3.0,12.0,0.0,23.0,23.0,1.0,,,,,501.93211488250654,11.308235294117647,0.044386422976501305,0.17647058823529413,
8,66d874f408b05b0db2e84898,AUCTION,2024-08-17T17:10:13+0530,120211668082000764,3500000,HOABL_One_Goa__Sarabjit_17/08/24_campaign,2024-08-17T19:00:00+0530,ACTIVE,2024-09-16T23:04:09+0530,"['120211668083090764', '120211912290150764', '120211912855710764']","['HOABL_One_Goa_Sarabjit_Plot_V_SC_investor_focused_adset', 'HOABL_One_Goa_Sarabjit_Plot_V_SC_LAL_3cr_ad_set', 'HOABL_One_Goa_Sarabjit_Plot_V_SC_LAL_5cr_ad_set']",7169553933166414,2024-08-17,2024-09-04,HOABL_One_Goa__Sarabjit_17/08/24_campaign,20369.0,200.0,5697.18,0.0,89.0,166.0,0.0,297.0,298.0,9.0,10.0,569.7180000000001,813.8828571428572,20.0,279.6985615395945,28.4859,0.009818842358485935,0.445,0.11235955056179775
9,66d874f408b05b0db2e84899,AUCTION,2024-08-14T12:21:47+0530,120211585949220764,350000,The_Lotus_India__Kolhapur_Sanjoli_Yadav__14/08/24_campaign,2024-08-14T15:55:00+0530,PAUSED,2024-08-29T18:21:46+0530,['120211585954520764'],['The_Lotus_India__Sanjoli_Yadav__Plot_V_SC_investor_focused_adset'],7169553933166414,2024-08-14,2024-09-04,The_Lotus_India__Kolhapur_Sanjoli_Yadav__14/08/24_campaign,553.0,7.0,597.67,0.0,5.0,7.0,0.0,10.0,10.0,2.0,,,,,1080.7775768535262,85.38142857142857,0.012658227848101266,0.7142857142857143,
