,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,publisher_platform,platform_position,post_engagement,page_engagement,video_view,link_click,campaign_id,post_reaction,post,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,like,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
554,66d7e310b3fdb1cfea446210,"[{'action_type': 'post_engagement', 'value': '661'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'comment', 'value': '5'}, {'action_type': 'page_engagement', 'value': '663'}, {'action_type': 'lead', 'value': '35'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'like', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '35'}, {'action_type': 'video_view', 'value': '284'}, {'action_type': 'post_reaction', 'value': '43'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '29'}, {'action_type': 'link_click', 'value': '327'}]",19683.28532,45925,1192,16.512823,428.596305,2.595536,2024-05-03,2024-07-13,facebook,feed,661.0,663.0,284.0,327.0,120209232857950764,43.0,1.0,,562.3795805714285,35.0,35.0,29.0,5.0,2.0,1.0,,,,,,
555,66d7e310b3fdb1cfea446211,"[{'action_type': 'post_engagement', 'value': '1092'}, {'action_type': 'page_engagement', 'value': '1092'}, {'action_type': 'lead', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '1'}, {'action_type': 'video_view', 'value': '1039'}, {'action_type': 'link_click', 'value': '53'}]",629.755198,4050,54,11.662133,155.495111,1.333333,2024-05-03,2024-07-13,facebook,instream_video,1092.0,1092.0,1039.0,53.0,120209232857950764,,,,629.755198,1.0,1.0,,,,,,,,,,
556,66d7e310b3fdb1cfea446212,"[{'action_type': 'post_engagement', 'value': '7'}, {'action_type': 'page_engagement', 'value': '7'}, {'action_type': 'video_view', 'value': '1'}, {'action_type': 'link_click', 'value': '6'}]",93.704298,367,6,15.617383,255.325062,1.634877,2024-05-03,2024-07-13,facebook,marketplace,7.0,7.0,1.0,6.0,120209232857950764,,,,,,,,,,,,,,,,
557,66d7e310b3fdb1cfea446213,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",23.398611,55,1,23.398611,425.429296,1.818182,2024-05-03,2024-07-13,facebook,search,1.0,1.0,,1.0,120209232857950764,,,,,,,,,,,,,,,,
558,66d7e310b3fdb1cfea446214,"[{'action_type': 'post_engagement', 'value': '86'}, {'action_type': 'page_engagement', 'value': '88'}, {'action_type': 'lead', 'value': '7'}, {'action_type': 'like', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '7'}, {'action_type': 'video_view', 'value': '32'}, {'action_type': 'post_reaction', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '4'}, {'action_type': 'link_click', 'value': '51'}]",1547.004728,6999,85,18.200056,221.032252,1.214459,2024-05-03,2024-07-13,facebook,video_feeds,86.0,88.0,32.0,51.0,120209232857950764,3.0,,,221.0006754285714,7.0,7.0,4.0,,2.0,,,,,,,
559,66d7e310b3fdb1cfea446215,"[{'action_type': 'post_engagement', 'value': '246'}, {'action_type': 'onsite_conversion.post_save', 'value': '4'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '246'}, {'action_type': 'lead', 'value': '13'}, {'action_type': 'post', 'value': '4'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '13'}, {'action_type': 'video_view', 'value': '152'}, {'action_type': 'post_reaction', 'value': '29'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '10'}, {'action_type': 'link_click', 'value': '56'}]",8841.579222,17274,102,86.682149,511.843188,0.590483,2024-05-03,2024-07-13,instagram,feed,246.0,246.0,152.0,56.0,120209232857950764,29.0,4.0,,680.1214786153846,13.0,13.0,10.0,1.0,,4.0,,,,,,
560,66d7e310b3fdb1cfea446216,"[{'action_type': 'post_engagement', 'value': '7'}, {'action_type': 'page_engagement', 'value': '7'}, {'action_type': 'video_view', 'value': '4'}, {'action_type': 'link_click', 'value': '3'}]",238.599924,1254,6,39.766654,190.271071,0.478469,2024-05-03,2024-07-13,instagram,instagram_explore,7.0,7.0,4.0,3.0,120209232857950764,,,,,,,,,,,,,,,,
561,66d7e310b3fdb1cfea446217,,2.197053,57,0,,38.544784,0,2024-05-03,2024-07-13,instagram,instagram_explore_grid_home,,,,,120209232857950764,,,,,,,,,,,,,,,,
562,66d7e310b3fdb1cfea446218,,61.088052,177,1,61.088052,345.130236,0.564972,2024-05-03,2024-07-13,instagram,instagram_profile_feed,,,,,120209232857950764,,,,,,,,,,,,,,,,
563,66d7e310b3fdb1cfea446219,"[{'action_type': 'post_engagement', 'value': '35'}, {'action_type': 'page_engagement', 'value': '35'}, {'action_type': 'lead', 'value': '3'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '3'}, {'action_type': 'post_reaction', 'value': '15'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '3'}, {'action_type': 'link_click', 'value': '19'}]",1442.464966,5469,40,36.061624,263.752965,0.731395,2024-05-03,2024-07-13,instagram,instagram_reels,35.0,35.0,,19.0,120209232857950764,15.0,1.0,,480.82165533333335,3.0,3.0,3.0,,,,,,,,,
