,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,age,gender,post_engagement,page_engagement,video_view,campaign_id,post,post_reaction,link_click,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,onsite_conversion.post_save,like,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
436,66d7e30cb3fdb1cfea445e83,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'video_view', 'value': '1'}]",27.894874,3,0,,9298.29123,0,2024-04-18,2024-06-21,65+,unknown,1.0,1.0,1.0,120208764186460764,,,,,,,,,,,,,,,,,
437,66d7e30cb3fdb1cfea445e84,"[{'action_type': 'post_engagement', 'value': '22'}, {'action_type': 'page_engagement', 'value': '22'}, {'action_type': 'lead', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '2'}, {'action_type': 'post_reaction', 'value': '4'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '3'}, {'action_type': 'link_click', 'value': '18'}]",3969.127873,5938,49,81.00261,668.428406,0.825194,2024-04-17,2024-06-16,25-34,female,22.0,22.0,,120208758419140764,,4.0,18.0,,1984.5639365,2.0,2.0,3.0,,,,,,,,,
438,66d7e30cb3fdb1cfea445e85,"[{'action_type': 'post_engagement', 'value': '100'}, {'action_type': 'page_engagement', 'value': '100'}, {'action_type': 'lead', 'value': '9'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '9'}, {'action_type': 'post_reaction', 'value': '26'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '3'}, {'action_type': 'link_click', 'value': '72'}]",8830.618821,33078,186,47.476445,266.963505,0.562307,2024-04-17,2024-06-16,25-34,male,100.0,100.0,,120208758419140764,2.0,26.0,72.0,,981.179869,9.0,9.0,3.0,,,,,,,,,
439,66d7e30cb3fdb1cfea445e86,,15.531952,64,1,15.531952,242.686748,1.5625,2024-04-17,2024-06-16,25-34,unknown,,,,120208758419140764,,,,,,,,,,,,,,,,,
440,66d7e30cb3fdb1cfea445e87,"[{'action_type': 'post_engagement', 'value': '25'}, {'action_type': 'page_engagement', 'value': '25'}, {'action_type': 'lead', 'value': '2'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '2'}, {'action_type': 'post_reaction', 'value': '6'}, {'action_type': 'link_click', 'value': '18'}]",2201.831472,4191,47,46.847478,525.371384,1.121451,2024-04-17,2024-06-16,35-44,female,25.0,25.0,,120208758419140764,1.0,6.0,18.0,,1100.915736,2.0,2.0,,,,,,,,,,
441,66d7e30cb3fdb1cfea445e88,"[{'action_type': 'post_engagement', 'value': '90'}, {'action_type': 'onsite_conversion.post_save', 'value': '3'}, {'action_type': 'comment', 'value': '2'}, {'action_type': 'page_engagement', 'value': '90'}, {'action_type': 'lead', 'value': '3'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '3'}, {'action_type': 'post_reaction', 'value': '23'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '60'}]",13214.884304,24076,222,59.526506,548.882053,0.92208,2024-04-17,2024-06-16,35-44,male,90.0,90.0,,120208758419140764,2.0,23.0,60.0,,4404.961434666667,3.0,3.0,1.0,2.0,3.0,,,,,,,
442,66d7e30cb3fdb1cfea445e89,,25.790032,107,1,25.790032,241.028336,0.934579,2024-04-17,2024-06-16,35-44,unknown,,,,120208758419140764,,,,,,,,,,,,,,,,,
443,66d7e30cb3fdb1cfea445e8a,"[{'action_type': 'post_engagement', 'value': '4'}, {'action_type': 'page_engagement', 'value': '4'}, {'action_type': 'link_click', 'value': '4'}]",948.278101,1432,8,118.534763,662.205378,0.558659,2024-04-17,2024-06-16,45-54,female,4.0,4.0,,120208758419140764,,,4.0,,,,,,,,,,,,,,
444,66d7e30cb3fdb1cfea445e8b,"[{'action_type': 'post_engagement', 'value': '43'}, {'action_type': 'comment', 'value': '3'}, {'action_type': 'page_engagement', 'value': '43'}, {'action_type': 'lead', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '2'}, {'action_type': 'post_reaction', 'value': '7'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '33'}]",4920.102841,7363,113,43.540733,668.219862,1.534701,2024-04-17,2024-06-16,45-54,male,43.0,43.0,,120208758419140764,,7.0,33.0,,2460.0514205,2.0,2.0,1.0,3.0,,,,,,,,
445,66d7e30cb3fdb1cfea445e8c,,27.218372,61,0,,446.202824,0,2024-04-17,2024-06-16,45-54,unknown,,,,120208758419140764,,,,,,,,,,,,,,,,,
