,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,video_view,cpm,cpc,ctr,cpl,ctl,campaign_id,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,landing_page_view,comment,like,post,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
21,66d7e314b3fdb1cfea4463cf,Your Dream Home Here!,2.759123,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,919.7076666666667,,0.0,,,120211887712890764,,,,,,,,,,,,
22,66d7e314b3fdb1cfea4463d0,Your Dream Home Here!,34.189138,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,2136.821125,,0.0,,,120211887712890764,,,,,,,,,,,,
23,66d7e314b3fdb1cfea4463d1,Exclusive Offer - Limited Time!,54.292751,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,4176.365461538462,,0.0,,,120211887712890764,,,,,,,,,,,,
24,66d7e314b3fdb1cfea4463d2,Own a Piece of Luxury in India,211.172909,91.0,2.0,2.0,2.0,0.0,2.0,0.0,,2320.5814175824175,105.5864545,0.02197802197802198,,,120211887712890764,,,,,,,,,,,,
25,66d7e314b3fdb1cfea4463d3,Own a Piece of Luxury in India,250.26049,61.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,4102.6309836065575,125.130245,0.03278688524590164,,,120211887712890764,,,,,,,,,,,,
26,66d7e314b3fdb1cfea4463d4,Secure Your Global Home,300.154638,68.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,4414.038794117647,,0.0,,,120211887712890764,,,,,,,,,,,,
27,66d7e314b3fdb1cfea4463d5,Secure Your Shop Now!,215.322543,404.0,5.0,1.0,1.0,0.0,1.0,0.0,,532.9765915841584,43.064508599999996,0.012376237623762377,,,120211836689260764,,,,,,,,,,,,
28,66d7e314b3fdb1cfea4463d6,Limited Units - Act Fast!,386.758835,537.0,7.0,1.0,1.0,0.0,1.0,0.0,,720.221294227188,55.251262142857136,0.01303538175046555,,,120211836689260764,,,,,,,,,,,,
29,66d7e314b3fdb1cfea4463d7,Prime Retail Spaces at 54 Lakhs!,428.565738,559.0,14.0,4.0,5.0,1.0,5.0,1.0,,766.6650053667263,30.611838428571428,0.025044722719141325,428.565738,14.0,120211836689260764,1.0,1.0,,,,,,,,,,
30,66d7e314b3fdb1cfea4463d8,Limited Units - Act Fast!,234.426558,736.0,10.0,7.0,7.0,0.0,7.0,0.0,,318.51434510869564,23.4426558,0.01358695652173913,,,120211836689260764,,,,,,,,,,,,
31,66d7e314b3fdb1cfea4463d9,Secure Your Shop Now!,26.231782,54.0,0.0,0.0,0.0,0.0,0.0,0.0,,485.7737407407407,,0.0,,,120211836689260764,,,,,,,,,,,,
32,66d7e314b3fdb1cfea4463da,Prime Retail Spaces at 54 Lakhs!,876.065544,1166.0,14.0,7.0,7.0,1.0,7.0,0.0,,751.3426620926243,62.576110285714286,0.012006861063464836,876.065544,14.0,120211836689260764,1.0,1.0,,,,,,,,,,
33,66d7e314b3fdb1cfea4463db,Limited Plots Available! Act Fast,19.99,47.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,425.3191489361702,19.99,0.02127659574468085,,,120211763205370764,,,,,,,,,,,,
34,66d7e314b3fdb1cfea4463dc,Luxury Farmhouse Plots Await!,51.78,108.0,5.0,1.0,4.0,0.0,4.0,0.0,3.0,479.44444444444446,10.356,0.046296296296296294,,,120211763205370764,,,,,,,,,,,,
35,66d7e314b3fdb1cfea4463dd,Call 9625911553 For Details!,82.85,156.0,11.0,2.0,15.0,0.0,15.0,1.0,12.0,531.0897435897435,7.531818181818181,0.07051282051282051,,,120211763205370764,,,,,,,,,,,,
36,66d7e314b3fdb1cfea4463de,Secure Your Eco-Friendly Paradise!,978.076686,7590.0,83.0,18.0,59.0,3.0,59.0,3.0,38.0,128.86385849802372,11.784056457831324,0.010935441370223979,326.025562,27.666666666666668,120211668082000764,3.0,2.0,,,,,,,,,,
37,66d7e314b3fdb1cfea4463df,Goa's Greatest Villa & Bungalow Plots,4119.753637,22979.0,325.0,114.0,257.0,5.0,258.0,9.0,131.0,179.28341690238912,12.676165036923077,0.01414334827451151,823.9507274,65.0,120211668082000764,5.0,10.0,,3.0,1.0,,,,,,,
38,66d7e314b3fdb1cfea4463e0,Enquire Now. Call 9811023094,2006.528907,12051.0,178.0,57.0,96.0,1.0,96.0,4.0,35.0,166.50310405775454,11.272634308988764,0.014770558459878848,2006.528907,178.0,120211668082000764,1.0,2.0,,,,,,,,,,
39,66d7e314b3fdb1cfea4463e1,Goa's Greatest Villa & Bungalow Plots,315.94113,790.0,14.0,6.0,123.0,1.0,123.0,2.0,114.0,399.9254810126582,22.56722357142857,0.017721518987341773,315.94113,14.0,120211668082000764,1.0,2.0,,1.0,,,,,,,,
40,66d7e314b3fdb1cfea4463e2,Secure Your Eco-Friendly Paradise!,630.0239,2549.0,33.0,15.0,389.0,1.0,389.0,2.0,371.0,247.1651235778737,19.091633333333334,0.012946253432718713,630.0239,33.0,120211668082000764,1.0,2.0,,1.0,,,,,,,,
41,66d7e314b3fdb1cfea4463e3,Enquire Now. Call 9811023094,1111.16921,3203.0,31.0,26.0,494.0,0.0,494.0,2.0,466.0,346.9151451763971,35.84416806451613,0.00967842647517952,,,120211668082000764,,,,,,,,,,,,
42,66d7e314b3fdb1cfea4463e4,Limited Plots Available! Act Fast,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,,0.0,,,120211585949220764,,,,,,,,,,,,
43,66d7e314b3fdb1cfea4463e5,Luxury Farmhouse Plots Await!,2.94,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,420.0,,0.0,,,120211585949220764,,,,,,,,,,,,
44,66d7e314b3fdb1cfea4463e6,Call 9560973633 For Details!,13.67,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,719.4736842105264,,0.0,,,120211585949220764,,,,,,,,,,,,
45,66d7e314b3fdb1cfea4463e7,Elevate Your Lifestyle At SmartWorld 69!,84.522826,100.0,1.0,0.0,12.0,0.0,12.0,0.0,12.0,845.22826,84.522826,0.01,,,120211545497890764,,,,,,,,,,,,
46,66d7e314b3fdb1cfea4463e8,Act fast! Claim your dream home by filling out the form.,2036.077174,1080.0,10.0,5.0,68.0,0.0,68.0,0.0,63.0,1885.2566425925927,203.6077174,0.009259259259259259,,,120211545497890764,,,,,,,,,,,,
